client_id,tenure_months,policy_value_gbp,renewal_date
CLI00001,65,4218.03,2026-07-24 12:25:51.617646
CLI00002,19,2730.9,2026-04-27 12:25:51.617646
CLI00003,75,1792.92,2026-08-18 12:25:51.617646
CLI00004,35,1028.55,2025-09-10 12:25:51.617646
CLI00005,79,4455.63,2026-03-04 12:25:51.617646
CLI00006,31,3305.51,2026-02-14 12:25:51.617646
CLI00007,15,2594.61,2026-10-11 12:25:51.617646
CLI00008,48,3483.7,2025-08-27 12:25:51.617646
CLI00009,37,713.35,2025-10-29 12:25:51.617646
CLI00010,8,3994.39,2025-12-25 12:25:51.617646
CLI00011,71,4086.49,2026-09-23 12:25:51.617646
CLI00012,49,1372.26,2026-01-27 12:25:51.617646
CLI00013,27,1702.32,2026-04-25 12:25:51.617646
CLI00014,68,2487.68,2026-03-11 12:25:51.617646
CLI00015,12,821.88,2026-01-15 12:25:51.617646
CLI00016,58,1978.58,2026-01-10 12:25:51.617646
CLI00017,32,3483.21,2026-03-07 12:25:51.617646
CLI00018,7,3833.79,2026-09-29 12:25:51.617646
CLI00019,35,1074.87,2026-01-21 12:25:51.617646
CLI00020,67,5587.55,2026-08-31 12:25:51.617646
CLI00021,20,3923.11,2026-09-08 12:25:51.617646
CLI00022,51,4018.79,2026-01-09 12:25:51.617646
CLI00023,13,2122.59,2026-06-29 12:25:51.617646
CLI00024,28,4447.1,2026-02-01 12:25:51.617646
CLI00025,65,5481.45,2026-06-30 12:25:51.617646
CLI00026,61,2106.21,2025-09-10 12:25:51.617646
CLI00027,29,1161.4,2025-11-10 12:25:51.617646
CLI00028,51,1151.99,2025-10-28 12:25:51.617646
CLI00029,79,2006.77,2025-12-29 12:25:51.617646
CLI00030,35,6763.71,2025-11-15 12:25:51.617646
CLI00031,3,4543.16,2026-03-26 12:25:51.617646
CLI00032,23,1549.27,2026-10-15 12:25:51.617646
CLI00033,57,2331.48,2026-06-21 12:25:51.617646
CLI00034,8,1855.61,2026-09-27 12:25:51.617646
CLI00035,83,3401.75,2026-08-26 12:25:51.617646
CLI00036,71,1974.64,2026-07-31 12:25:51.617646
CLI00037,7,1970.82,2026-07-27 12:25:51.617646
CLI00038,5,2943.86,2026-09-08 12:25:51.617646
CLI00039,55,563.99,2026-09-20 12:25:51.617646
CLI00040,25,1975.54,2026-10-19 12:25:51.617646
CLI00041,55,2456.73,2026-01-28 12:25:51.617646
CLI00042,39,2451.97,2026-02-14 12:25:51.617646
CLI00043,76,1565.57,2025-12-15 12:25:51.617646
CLI00044,76,6765.15,2026-03-04 12:25:51.617646
CLI00045,19,5108.02,2026-09-07 12:25:51.617646
CLI00046,80,1339.2,2026-07-13 12:25:51.617646
CLI00047,75,3697.56,2025-11-14 12:25:51.617646
CLI00048,3,1447.15,2026-06-05 12:25:51.617646
CLI00049,53,2430.29,2025-11-09 12:25:51.617646
CLI00050,47,5818.81,2026-01-19 12:25:51.617646
CLI00051,79,3170.42,2025-10-20 12:25:51.617646
CLI00052,6,4293.27,2025-10-20 12:25:51.617646
CLI00053,64,2185.67,2026-08-09 12:25:51.617646
CLI00054,67,2148.19,2025-09-17 12:25:51.617646
CLI00055,34,1784.2,2025-10-02 12:25:51.617646
CLI00056,36,2296.79,2026-02-05 12:25:51.617646
CLI00057,74,880.85,2026-10-17 12:25:51.617646
CLI00058,41,7669.84,2025-11-14 12:25:51.617646
CLI00059,28,1232.06,2026-02-13 12:25:51.617646
CLI00060,36,3043.02,2025-09-06 12:25:51.617646
CLI00061,56,3111.69,2025-11-26 12:25:51.617646
CLI00062,5,3343.66,2026-03-06 12:25:51.617646
CLI00063,52,6466.79,2025-11-26 12:25:51.617646
CLI00064,14,2609.15,2025-10-24 12:25:51.617646
CLI00065,67,1199.28,2026-07-16 12:25:51.617646
CLI00066,56,8094.09,2026-07-27 12:25:51.617646
CLI00067,7,406.45,2025-08-25 12:25:51.617646
CLI00068,59,857.05,2025-08-22 12:25:51.617646
CLI00069,19,6068.46,2025-09-11 12:25:51.617646
CLI00070,49,2832.01,2025-12-10 12:25:51.617646
CLI00071,25,3743.77,2025-10-16 12:25:51.617646
CLI00072,81,1887.07,2025-10-25 12:25:51.617646
CLI00073,16,1611.13,2026-07-16 12:25:51.617646
CLI00074,68,928.52,2025-11-26 12:25:51.617646
CLI00075,77,7644.51,2026-01-11 12:25:51.617646
CLI00076,53,1391.5,2026-08-23 12:25:51.617646
CLI00077,40,1803.99,2025-12-23 12:25:51.617646
CLI00078,66,1377.63,2026-02-03 12:25:51.617646
CLI00079,40,2121.77,2025-11-14 12:25:51.617646
CLI00080,52,1962.19,2025-11-04 12:25:51.617646
CLI00081,32,3129.07,2026-07-30 12:25:51.617646
CLI00082,81,5012.74,2026-10-18 12:25:51.617646
CLI00083,53,1114.43,2026-06-10 12:25:51.617646
CLI00084,65,1793.72,2025-10-18 12:25:51.617646
CLI00085,54,2956.72,2026-01-05 12:25:51.617646
CLI00086,40,692.24,2025-11-27 12:25:51.617646
CLI00087,81,3414.48,2026-02-28 12:25:51.617646
CLI00088,32,2416.21,2026-04-20 12:25:51.617646
CLI00089,53,1944.31,2026-07-05 12:25:51.617646
CLI00090,83,1382.63,2025-10-08 12:25:51.617646
CLI00091,7,1970.18,2025-09-21 12:25:51.617646
CLI00092,31,1543.33,2026-09-15 12:25:51.617646
CLI00093,6,2805.88,2026-05-24 12:25:51.617646
CLI00094,12,2868.48,2025-09-09 12:25:51.617646
CLI00095,58,7354.55,2026-01-21 12:25:51.617646
CLI00096,19,2807.53,2026-09-07 12:25:51.617646
CLI00097,76,6589.62,2025-10-27 12:25:51.617646
CLI00098,19,1376.26,2026-08-21 12:25:51.617646
CLI00099,71,338.93,2026-08-27 12:25:51.617646
CLI00100,36,1179.28,2026-03-22 12:25:51.617646
CLI00101,8,2044.43,2026-01-10 12:25:51.617646
CLI00102,55,1897.54,2026-08-31 12:25:51.617646
CLI00103,68,1104.16,2026-04-09 12:25:51.617646
CLI00104,79,1201.38,2026-03-21 12:25:51.617646
CLI00105,45,2193.45,2025-11-07 12:25:51.617646
CLI00106,77,1410.62,2026-03-22 12:25:51.617646
CLI00107,25,3552.05,2025-12-14 12:25:51.617646
CLI00108,57,2180.57,2025-11-20 12:25:51.617646
CLI00109,82,3924.46,2026-05-17 12:25:51.617646
CLI00110,77,2311.25,2026-10-05 12:25:51.617646
CLI00111,18,1676.31,2026-09-05 12:25:51.617646
CLI00112,10,2930.33,2026-02-04 12:25:51.617646
CLI00113,6,941.67,2025-10-17 12:25:51.617646
CLI00114,6,1302.91,2026-05-31 12:25:51.617646
CLI00115,58,1135.92,2025-09-15 12:25:51.617646
CLI00116,27,3007.83,2026-08-24 12:25:51.617646
CLI00117,69,3801.22,2025-10-25 12:25:51.617646
CLI00118,69,2011.93,2026-10-03 12:25:51.617646
CLI00119,29,2447.6,2026-04-25 12:25:51.617646
CLI00120,34,1940.28,2026-05-01 12:25:51.617646
CLI00121,52,1239.77,2026-09-11 12:25:51.617646
CLI00122,63,3469.69,2025-10-03 12:25:51.617646
CLI00123,53,3104.39,2025-11-25 12:25:51.617646
CLI00124,21,493.06,2025-10-01 12:25:51.617646
CLI00125,23,1662.28,2026-04-04 12:25:51.617646
CLI00126,7,1371.88,2026-05-09 12:25:51.617646
CLI00127,44,1706.7,2026-02-03 12:25:51.617646
CLI00128,63,3931.68,2026-05-26 12:25:51.617646
CLI00129,24,1486.76,2025-11-17 12:25:51.617646
CLI00130,23,2842.46,2026-09-03 12:25:51.617646
CLI00131,72,2840.29,2026-02-14 12:25:51.617646
CLI00132,3,1437.78,2026-09-27 12:25:51.617646
CLI00133,7,1455.15,2026-03-05 12:25:51.617646
CLI00134,14,5729.83,2026-06-23 12:25:51.617646
CLI00135,48,1412.53,2026-05-14 12:25:51.617646
CLI00136,36,1920.62,2026-05-15 12:25:51.617646
CLI00137,51,1474.33,2025-11-02 12:25:51.617646
CLI00138,80,3238.26,2025-08-28 12:25:51.617646
CLI00139,47,3147.81,2026-10-02 12:25:51.617646
CLI00140,29,2071.2,2026-06-13 12:25:51.617646
CLI00141,75,4319.37,2026-01-31 12:25:51.617646
CLI00142,28,2277.12,2025-11-13 12:25:51.617646
CLI00143,49,1320.93,2025-10-31 12:25:51.617646
CLI00144,58,3238.14,2025-10-14 12:25:51.617646
CLI00145,65,2747.13,2026-09-17 12:25:51.617646
CLI00146,50,2467.24,2025-10-06 12:25:51.617646
CLI00147,63,1715.1,2026-09-23 12:25:51.617646
CLI00148,83,4864.69,2026-04-15 12:25:51.617646
CLI00149,28,3616.06,2025-12-02 12:25:51.617646
CLI00150,38,3465.77,2026-03-18 12:25:51.617646
CLI00151,3,2859.31,2025-10-01 12:25:51.617646
CLI00152,10,5263.55,2026-07-02 12:25:51.617646
CLI00153,54,1631.52,2026-05-15 12:25:51.617646
CLI00154,81,1563.81,2026-09-10 12:25:51.617646
CLI00155,49,5041.77,2026-05-10 12:25:51.617646
CLI00156,58,256.41,2026-07-22 12:25:51.617646
CLI00157,16,2877.47,2026-09-11 12:25:51.617646
CLI00158,30,1815.12,2026-08-20 12:25:51.617646
