client_id,risk_segment
CLI00001,medium
CLI00002,low
CLI00003,low
CLI00004,low
CLI00005,high
CLI00006,high
CLI00007,high
CLI00008,low
CLI00009,low
CLI00010,low
CLI00011,high
CLI00012,low
CLI00013,low
CLI00014,medium
CLI00015,high
CLI00016,high
CLI00017,medium
CLI00018,low
CLI00019,medium
CLI00020,medium
CLI00021,low
CLI00022,high
CLI00023,medium
CLI00024,medium
CLI00025,medium
CLI00026,low
CLI00027,high
CLI00028,low
CLI00029,low
CLI00030,high
CLI00031,low
CLI00032,high
CLI00033,high
CLI00034,low
CLI00035,low
CLI00036,low
CLI00037,medium
CLI00038,high
CLI00039,low
CLI00040,medium
CLI00041,high
CLI00042,medium
CLI00043,high
CLI00044,low
CLI00045,medium
CLI00046,low
CLI00047,medium
CLI00048,low
CLI00049,low
CLI00050,high
CLI00051,low
CLI00052,low
CLI00053,low
CLI00054,low
CLI00055,low
CLI00056,low
CLI00057,high
CLI00058,high
CLI00059,high
CLI00060,medium
CLI00061,medium
CLI00062,medium
CLI00063,low
CLI00064,medium
CLI00065,medium
CLI00066,low
CLI00067,high
CLI00068,low
CLI00069,high
CLI00070,low
CLI00071,low
CLI00072,high
CLI00073,high
CLI00074,low
CLI00075,low
CLI00076,low
CLI00077,low
CLI00078,high
CLI00079,medium
CLI00080,high
CLI00081,low
CLI00082,low
CLI00083,medium
CLI00084,high
CLI00085,medium
CLI00086,medium
CLI00087,low
CLI00088,low
CLI00089,low
CLI00090,medium
CLI00091,high
CLI00092,low
CLI00093,low
CLI00094,low
CLI00095,low
CLI00096,medium
CLI00097,low
CLI00098,medium
CLI00099,high
CLI00100,high
CLI00101,high
CLI00102,low
CLI00103,medium
CLI00104,low
CLI00105,low
CLI00106,medium
CLI00107,medium
CLI00108,low
CLI00109,medium
CLI00110,high
CLI00111,medium
CLI00112,high
CLI00113,low
CLI00114,low
CLI00115,low
CLI00116,low
CLI00117,low
CLI00118,high
CLI00119,low
CLI00120,low
CLI00121,low
CLI00122,low
CLI00123,medium
CLI00124,high
CLI00125,medium
CLI00126,medium
CLI00127,low
CLI00128,low
CLI00129,high
CLI00130,low
CLI00131,medium
CLI00132,medium
CLI00133,high
CLI00134,medium
CLI00135,low
CLI00136,medium
CLI00137,low
CLI00138,low
CLI00139,medium
CLI00140,low
CLI00141,low
CLI00142,medium
CLI00143,medium
CLI00144,medium
CLI00145,medium
CLI00146,high
CLI00147,low
CLI00148,low
CLI00149,high
CLI00150,medium
CLI00151,low
CLI00152,medium
CLI00153,high
CLI00154,medium
CLI00155,low
CLI00156,medium
CLI00157,low
CLI00158,low
CLI00159,medium
CLI00160,low
CLI00161,medium
CLI00162,low
CLI00163,low
CLI00164,low
CLI00165,high
CLI00166,low
CLI00167,medium
CLI00168,high
CLI00169,high
CLI00170,low
CLI00171,low
CLI00172,high
CLI00173,low
CLI00174,medium
CLI00175,low
CLI00176,high
CLI00177,low
CLI00178,medium
CLI00179,low
CLI00180,high
CLI00181,medium
CLI00182,high
CLI00183,low
CLI00184,low
CLI00185,medium
CLI00186,low
CLI00187,low
CLI00188,low
CLI00189,low
CLI00190,medium
CLI00191,high
CLI00192,low
CLI00193,low
CLI00194,low
CLI00195,medium
CLI00196,medium
CLI00197,low
CLI00198,low
CLI00199,low
CLI00200,low
CLI00201,low
CLI00202,high
CLI00203,high
CLI00204,low
CLI00205,low
CLI00206,high
