client_id,ticket_date,ticket_type,resolved_within_sla
CLI00001,2026-03-06 12:25:51.617646,general,True
CLI00005,2026-07-12 12:25:51.617646,general,True
CLI00005,2026-05-26 12:25:51.617646,complaint,True
CLI00005,2026-07-17 12:25:51.617646,billing,True
CLI00005,2026-02-17 12:25:51.617646,claim_query,True
CLI00005,2026-06-11 12:25:51.617646,policy_change,True
CLI00005,2026-07-03 12:25:51.617646,complaint,False
CLI00006,2026-03-15 12:25:51.617646,policy_change,False
CLI00006,2026-07-08 12:25:51.617646,claim_query,True
CLI00006,2026-02-13 12:25:51.617646,policy_change,True
CLI00006,2026-05-18 12:25:51.617646,complaint,False
CLI00006,2026-04-11 12:25:51.617646,billing,True
CLI00006,2026-04-06 12:25:51.617646,policy_change,False
CLI00006,2026-05-13 12:25:51.617646,general,True
CLI00006,2026-04-28 12:25:51.617646,general,True
CLI00006,2026-02-26 12:25:51.617646,claim_query,True
CLI00007,2026-06-11 12:25:51.617646,billing,True
CLI00007,2026-02-06 12:25:51.617646,complaint,False
CLI00007,2026-06-03 12:25:51.617646,complaint,True
CLI00007,2026-05-16 12:25:51.617646,policy_change,False
CLI00007,2026-06-18 12:25:51.617646,complaint,True
CLI00007,2026-06-28 12:25:51.617646,general,True
CLI00007,2026-04-20 12:25:51.617646,claim_query,True
CLI00011,2026-04-03 12:25:51.617646,general,True
CLI00012,2026-02-28 12:25:51.617646,claim_query,True
CLI00014,2026-02-05 12:25:51.617646,general,True
CLI00014,2026-05-06 12:25:51.617646,complaint,True
CLI00015,2026-06-21 12:25:51.617646,billing,True
CLI00015,2026-05-04 12:25:51.617646,complaint,True
CLI00015,2026-05-14 12:25:51.617646,billing,False
CLI00015,2026-04-04 12:25:51.617646,complaint,True
CLI00015,2026-03-15 12:25:51.617646,claim_query,True
CLI00015,2025-12-30 12:25:51.617646,general,True
CLI00015,2026-06-01 12:25:51.617646,claim_query,False
CLI00015,2026-07-18 12:25:51.617646,complaint,False
CLI00015,2026-06-29 12:25:51.617646,policy_change,False
CLI00015,2026-07-13 12:25:51.617646,billing,True
CLI00016,2026-03-15 12:25:51.617646,complaint,True
CLI00016,2026-02-17 12:25:51.617646,general,True
CLI00016,2026-03-04 12:25:51.617646,billing,True
CLI00016,2026-03-11 12:25:51.617646,complaint,True
CLI00016,2026-06-22 12:25:51.617646,billing,True
CLI00016,2026-05-29 12:25:51.617646,general,True
CLI00016,2026-07-08 12:25:51.617646,claim_query,True
CLI00016,2026-03-14 12:25:51.617646,claim_query,True
CLI00017,2026-02-09 12:25:51.617646,policy_change,True
CLI00018,2025-09-10 12:25:51.617646,general,True
CLI00019,2025-08-26 12:25:51.617646,complaint,True
